Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	285913.0	3000	200	25.0	0.1
629744.0	423352.0	3000	200	25.0	1.0
629744.0	306503.0	3000	200	125.0	0.001
629744.0	312010.0	3000	200	125.0	0.01
629744.0	311679.0	3000	200	125.0	0.1
629744.0	481341.0	3000	200	125.0	1.0
629744.0	319872.0	3000	300	1.0	0.001
629744.0	333680.0	3000	300	1.0	0.01
629744.0	297347.0	3000	300	1.0	0.1
629744.0	375691.0	3000	300	1.0	1.0
629744.0	340855.0	3000	300	5.0	0.001
629744.0	343038.0	3000	300	5.0	0.01
629744.0	311185.0	3000	300	5.0	0.1
629744.0	448718.0	3000	300	5.0	1.0
629744.0	297649.0	3000	300	25.0	0.001
629744.0	336875.0	3000	300	25.0	0.01
629744.0	306692.0	3000	300	25.0	0.1
629744.0	389611.0	3000	300	25.0	1.0
629744.0	307088.0	3000	300	125.0	0.001
629744.0	335948.0	3000	300	125.0	0.01
629744.0	287084.0	3000	300	125.0	0.1
629744.0	414293.0	3000	300	125.0	1.0
629744.0	291842.0	3000	400	1.0	0.001
629744.0	297593.0	3000	400	1.0	0.01
629744.0	311441.0	3000	400	1.0	0.1
629744.0	447551.0	3000	400	1.0	1.0
629744.0	322043.0	3000	400	5.0	0.001
629744.0	309028.0	3000	400	5.0	0.01
629744.0	315378.0	3000	400	5.0	0.1
629744.0	426007.0	3000	400	5.0	1.0
629744.0	292349.0	3000	400	25.0	0.001
629744.0	298991.0	3000	400	25.0	0.01
629744.0	313930.0	3000	400	25.0	0.1
629744.0	441733.0	3000	400	25.0	1.0
629744.0	293766.0	3000	400	125.0	0.001
629744.0	322500.0	3000	400	125.0	0.01
629744.0	320490.0	3000	400	125.0	0.1
629744.0	456032.0	3000	400	125.0	1.0
629744.0	321044.0	3000	500	1.0	0.001
629744.0	291831.0	3000	500	1.0	0.01
629744.0	336606.0	3000	500	1.0	0.1
629744.0	425716.0	3000	500	1.0	1.0
629744.0	312936.0	3000	500	5.0	0.001
629744.0	302657.0	3000	500	5.0	0.01
629744.0	292278.0	3000	500	5.0	0.1
629744.0	379451.0	3000	500	5.0	1.0
629744.0	323394.0	3000	500	25.0	0.001
629744.0	360076.0	3000	500	25.0	0.01
629744.0	320399.0	3000	500	25.0	0.1
629744.0	485837.0	3000	500	25.0	1.0
629744.0	302505.0	3000	500	125.0	0.001
629744.0	315379.0	3000	500	125.0	0.01
629744.0	315249.0	3000	500	125.0	0.1
629744.0	408084.0	3000	500	125.0	1.0
629744.0	309754.0	3000	600	1.0	0.001
629744.0	305832.0	3000	600	1.0	0.01
629744.0	397096.0	3000	600	1.0	0.1
629744.0	386219.0	3000	600	1.0	1.0
629744.0	327396.0	3000	600	5.0	0.001
629744.0	314985.0	3000	600	5.0	0.01
629744.0	303700.0	3000	600	5.0	0.1
629744.0	371568.0	3000	600	5.0	1.0
629744.0	321115.0	3000	600	25.0	0.001
629744.0	397821.0	3000	600	25.0	0.01
629744.0	292860.0	3000	600	25.0	0.1
